,Cases fulfilling the reporting criteria of COVID-19,Enhanced laboratory surveillance in public hospitals,Enhanced surveillance at Accident and Emergency Departments / General Outpatient Clinics,Diagnosis / Enhanced surveillance in private hospitals and clinics,Medical surveillance / Contact tracing by the Centre for Health Protection,Enhanced surveillance for asymptomatic inbound travelers,Others,Enhanced surveillance at  Accident and Emergency Departments / General Outpatient Clinics,Medical surveillance / contact tracing by Centre for Health Protection,Enhanced surveillance for persons with higher risk of exposure,Private testing for the four high-risk groups*,Private testing for the four high-risk groups,Private testing for targeted high-risk groups,Universal Community Testing Programme,Private testing for targeted groups,Private testing for high-risk groups,Temporary testing centre,Private testing for the high-risk groups,Private testing for the targeted groups,Community testing centre,Medical surveillance / contact tracing by Centre for Health Protection ,Pending
20200429,344,49,127.0,89,187.0,242,,,,,,,,,,,,,,,,
20200430,335,48,123.0,84,209.0,239,,,,,,,,,,,,,,,,
20200501,334,48,123.0,84,210.0,239,,,,,,,,,,,,,,,,
20200502,333,48,122.0,85,211.0,241,,,,,,,,,,,,,,,,
20200505,333,48,122.0,85,211.0,242,,,,,,,,,,,,,,,,
20200508,333,48,122.0,85,211.0,246,,,,,,,,,,,,,,,,
20200510,333,48,121.0,85,212.0,246,,,,,,,,,,,,,,,,
20200511,333,48,121.0,85,212.0,249,,,,,,,,,,,,,,,,
20200514,334,48,122.0,85,213.0,249,,,,,,,,,,,,,,,,
20200515,334,48,122.0,85,214.0,249,,,,,,,,,,,,,,,,
20200516,335,48,122.0,85,214.0,249,,,,,,,,,,,,,,,,
20200518,335,48,122.0,85,214.0,252,,,,,,,,,,,,,,,,
20200522,335,48,122.0,85,215.0,259,,,,,,,,,,,,,,,,
20200523,336,48,122.0,85,215.0,260,,,,,,,,,,,,,,,,
20200526,336,48,122.0,85,215.0,260,,,,,,,,,,,,,,,,
20200528,336,48,122.0,85,215.0,261,,,,,,,,,,,,,,,,
20200530,336,48,122.0,85,215.0,274,,,,,,,,,,,,,,,,
20200531,336,48,122.0,85,215.0,277,,,,,,,,,,,,,,,,
20200601,336,49,122.0,85,216.0,277,,,,,,,,,,,,,,,,
20200602,336,49,122.0,85,219.0,277,,,,,,,,,,,,,,,,
20200603,336,49,122.0,85,225.0,277,,,,,,,,,,,,,,,,
20200605,336,49,122.0,85,226.0,282,,,,,,,,,,,,,,,,
20200606,336,49,122.0,85,226.0,285,,,,,,,,,,,,,,,,
20200607,338,49,122.0,85,226.0,286,,,,,,,,,,,,,,,,
20200608,336,49,122.0,85,228.0,287,,,,,,,,,,,,,,,,
20200609,336,49,122.0,85,229.0,287,,,,,,,,,,,,,,,,
20200613,336,49,122.0,85,230.0,287,,,,,,,,,,,,,,,,
20200614,336,49,122.0,85,231.0,287,,,,,,,,,,,,,,,,
20200616,336,49,122.0,85,231.0,290,,,,,,,,,,,,,,,,
20200618,336,49,122.0,85,231.0,298,,,,,,,,,,,,,,,,
20200619,336,49,122.0,85,231.0,302,,,,,,,,,,,,,,,,
20200620,336,49,122.0,85,231.0,305,,,,,,,,,,,,,,,,
20200621,336,49,122.0,85,231.0,306,,,,,,,,,,,,,,,,
20200622,336,49,122.0,85,231.0,309,,,,,,,,,,,,,,,,
20200623,336,49,122.0,85,231.0,339,,,,,,,,,,,,,,,,
20200624,336,49,122.0,85,231.0,355,,,,,,,,,,,,,,,,
20200625,336,50,122.0,85,234.0,353,,,,,,,,,,,,,,,,
20200626,336,50,122.0,85,234.0,367,,,,,,,,,,,,,,,,
20200627,336,50,122.0,85,236.0,368,,,,,,,,,,,,,,,,
20200628,336,50,122.0,85,236.0,369,,,,,,,,,,,,,,,,
20200629,336,50,122.0,85,236.0,371,,,,,,,,,,,,,,,,
20200630,336,50,122.0,85,237.0,374,,,,,,,,,,,,,,,,
20200701,336,50,122.0,85,239.0,374,,,,,,,,,,,,,,,,
20200702,336,50,122.0,85,240.0,401,,,,,,,,,,,,,,,,
20200703,336,50,122.0,85,240.0,410,,,,,,,,,,,,,,,,
20200704,336,50,122.0,85,241.0,414,,,,,,,,,,,,,,,,
20200705,336,50,122.0,86,241.0,424,,,,,,,,,,,,,,,,
20200706,336,51,122.0,87,244.0,429,,,,,,,,,,,,,,,,
20200707,336,52,122.0,87,249.0,440,,,,,,,,,,,,,,,,
20200708,336,54,122.0,95,250.0,443,,,,,,,,,,,,,,,,
20200709,336,61,123.0,98,260.0,446,,,,,,,,,,,,,,,,
20200710,336,67,126.0,98,286.0,453,,,,,,,,,,,,,,,,
20200711,336,71,133.0,101,306.0,457,,,,,,,,,,,,,,,,
20200712,336,76,134.0,102,315.0,469,,,,,,,,,,,,,,,,
20200713,336,89,142.0,103,324.0,476,,,,,,,,,,,,,,,,
20200714,336,106,150.0,107,341.0,481,1.0,,,,,,,,,,,,,,,
20200715,336,119,162.0,110,357.0,485,1.0,,,,,,,,,,,,,,,
20200716,336,124,166.0,111,361.0,490,1.0,,,,,,,,,,,,,,,
20200717,336,135,186.0,121,383.0,494,1.0,,,,,,,,,,,,,,,
20200718,336,146,206.0,124,402.0,499,1.0,,,,,,,,,,,,,,,
20200719,336,149,234.0,140,415.0,501,3.0,,,,,,,,,,,,,,,
20200720,336,167,258.0,167,432.0,523,3.0,,,,,,,,,,,,,,,
20200721,336,186,289.0,173,443.0,529,3.0,,,,,,,,,,,,,,,
20200722,336,196,318.0,181,454.0,531,3.0,,,,,,,,,,,,,,,
20200723,336,212,371.0,204,467.0,539,3.0,,,,,,,,,,,,,,,
20200724,336,226,419.0,228,490.0,547,4.0,,,,,,,,,,,,,,,
20200725,336,248,,240,,550,,475.0,519.0,3.0,2.0,,,,,,,,,,,
20200726,336,275,,255,,556,,533.0,543.0,3.0,5.0,,,,,,,,,,,
20200727,336,299,,268,,576,,585.0,560.0,3.0,,7.0,,,,,,,,,,
20200728,336,323,,302,,577,,639.0,592.0,3.0,,7.0,,,,,,,,,,
20200729,336,343,,316,,582,,674.0,621.0,6.0,,7.0,,,,,,,,,,
20200730,336,360,,329,,587,,741.0,635.0,7.0,,8.0,,,,,,,,,,
20200731,336,371,,359,,591,,811.0,668.0,7.0,,9.0,,,,,,,,,,
20200801,336,372,934.0,353,,591,,,670.0,8.0,,9.0,,,,,,,,,,
20200802,336,404,902.0,435,,592,,,709.0,9.0,,10.0,,,,,,,,,,
20200803,336,417,959.0,451,,592,,,726.0,11.0,,20.0,,,,,,,,,,
20200805,336,436,1022.0,484,,598,,,758.0,11.0,25.0,,,,,,,,,,,
20200806,336,443,1066.0,495,,601,,,776.0,11.0,,27.0,,,,,,,,,,
20200807,336,452,1097.0,524,,605,,,801.0,11.0,,24.0,,,,,,,,,,
20200809,336,466,1157.0,561,,614,,,832.0,13.0,,29.0,,,,,,,,,,
20200810,336,472,1190.0,577,,616,,,845.0,14.0,,30.0,,,,,,,,,,
20200811,336,477,1208.0,586,,617,,,880.0,14.0,,31.0,,,,,,,,,,
20200812,336,480,1216.0,593,,618,,,892.0,14.0,,33.0,,,,,,,,,,
20200813,336,485,1249.0,598,,618,,,906.0,15.0,,37.0,,,,,,,,,,
20200814,336,487,1283.0,614,,621,,,920.0,15.0,,37.0,,,,,,,,,,
20200815,336,490,1289.0,624,,618,,,952.0,15.0,,37.0,,,,,,,,,,
20200816,336,492,1325.0,603,,622,,,968.0,15.0,,46.0,,,,,,,,,,
20200817,336,500,1340.0,615,,626,,,1002.0,15.0,,47.0,,,,,,,,,,
20200818,336,503,1350.0,621,,639,,,1014.0,15.0,,47.0,,,,,,,,,,
20200819,336,506,1359.0,624,,640,,,1032.0,16.0,,48.0,,,,,,,,,,
20200820,336,509,1364.0,625,,640,,,1048.0,17.0,,48.0,,,,,,,,,,
20200821,336,511,1370.0,627,,640,,,1056.0,17.0,,48.0,,,,,,,,,,
20200822,336,513,1376.0,629,,644,,,1069.0,17.0,,48.0,,,,,,,,,,
20200823,336,517,1383.0,632,,646,,,1078.0,17.0,,49.0,,,,,,,,,,
20200824,336,517,1385.0,635,,647,,,1092.0,17.0,,54.0,,,,,,,,,,
20200825,336,518,1386.0,638,,648,,,1095.0,17.0,,54.0,,,,,,,,,,
20200826,336,519,1390.0,644,,649,,,1101.0,17.0,,55.0,,,,,,,,,,
20200827,336,521,1396.0,646,,649,,,1114.0,17.0,,56.0,,,,,,,,,,
20200828,336,521,1397.0,647,,652,,,1129.0,17.0,,57.0,,,,,,,,,,
20200829,336,521,1401.0,648,,654,,,1135.0,17.0,,57.0,,,,,,,,,,
20200830,336,523,1405.0,651,,656,,,1141.0,17.0,,58.0,,,,,,,,,,
20200831,336,524,1407.0,651,,661,,,1146.0,17.0,,,60.0,,,,,,,,,
20200901,336,526,1408.0,651,,663,,,1150.0,17.0,,,60.0,,,,,,,,,
20200902,336,527,1409.0,651,,663,,,1160.0,17.0,,,60.0,,,,,,,,,
20200903,336,527,1410.0,653,,663,1.0,,1164.0,17.0,,,60.0,,,,,,,,,
20200904,336,530,1410.0,654,,664,2.0,,1166.0,17.0,,,60.0,,,,,,,,,
20200905,336,531,1409.0,654,,665,2.0,,1173.0,17.0,,,60.0,4.0,,,,,,,,
20200906,336,531,1409.0,655,,665,2.0,,1177.0,17.0,,,60.0,6.0,,,,,,,,
20200907,336,533,1411.0,656,,669,2.0,,1183.0,18.0,,,60.0,11.0,,,,,,,,
20200908,336,533,1411.0,656,,670,2.0,,1188.0,18.0,,,60.0,16.0,,,,,,,,
20200909,336,532,1410.0,656,,671,2.0,,1193.0,18.0,,,60.0,18.0,,,,,,,,
20200910,336,532,1410.0,656,,672,2.0,,1197.0,18.0,,,60.0,19.0,,,,,,,,
20200911,336,532,1410.0,656,,679,2.0,,1200.0,18.0,,,60.0,21.0,,,,,,,,
20200912,336,532,1410.0,657,,687,2.0,,1201.0,18.0,,,60.0,23.0,,,,,,,,
20200913,336,534,1412.0,659,,690,2.0,,1205.0,18.0,,,60.0,23.0,,,,,,,,
20200914,336,534,1412.0,660,,696,2.0,,1214.0,18.0,,,60.0,26.0,,,,,,,,
20200915,336,534,1412.0,661,,697,2.0,,1220.0,18.0,,,60.0,32.0,,,,,,,,
20200916,336,534,1412.0,661,,699,2.0,,1222.0,18.0,,,60.0,32.0,,,,,,,,
20200917,336,534,1412.0,661,,701,2.0,,1229.0,18.0,,,60.0,32.0,,,,,,,,
20200918,336,534,1415.0,661,,704,2.0,,1232.0,18.0,,,60.0,32.0,,,,,,,,
20200919,336,534,1415.0,661,,705,2.0,,1234.0,18.0,,,60.0,32.0,,,,,,,,
20200920,336,535,1416.0,662,,711,2.0,,1238.0,18.0,,,60.0,32.0,,,,,,,,
20200921,336,535,1416.0,662,,723,2.0,,1249.0,18.0,,,60.0,32.0,,,,,,,,
20200922,336,536,1416.0,662,,723,2.0,,1254.0,18.0,,,60.0,32.0,,,,,,,,
20200923,336,536,1416.0,662,,724,2.0,,1261.0,18.0,,,,32.0,60.0,,,,,,,
20200924,336,536,1416.0,662,,725,2.0,,1263.0,18.0,,,,32.0,60.0,,,,,,,
20200925,336,536,1416.0,662,,726,2.0,,1269.0,18.0,,,,32.0,60.0,,,,,,,
20200926,336,536,1416.0,662,,726,2.0,,1271.0,18.0,,,,32.0,60.0,,,,,,,
20200927,336,536,1416.0,662,,727,2.0,,1271.0,18.0,,,,32.0,60.0,,,,,,,
20200928,336,536,1417.0,662,,730,2.0,,1273.0,18.0,,,,32.0,60.0,,,,,,,
20200929,336,536,1417.0,662,,735,2.0,,1278.0,18.0,,,,32.0,60.0,,,,,,,
20200930,336,536,1417.0,662,,737,2.0,,1280.0,18.0,,,,32.0,60.0,,,,,,,
20201001,336,537,1417.0,663,,741,2.0,,1282.0,18.0,,,,32.0,60.0,,,,,,,
20201002,336,537,1414.0,666,,748,2.0,,1285.0,18.0,,,,32.0,60.0,,,,,,,
20201003,336,537,1415.0,667,,751,2.0,,1287.0,18.0,,,,32.0,60.0,,,,,,,
20201004,336,537,1416.0,667,,754,2.0,,1287.0,18.0,,,,32.0,60.0,,,,,,,
20201005,336,541,1417.0,667,,752,2.0,,1289.0,18.0,,,,32.0,60.0,,,,,,,
20201006,336,541,,668,,757,2.0,1418.0,1293.0,18.0,,60.0,,32.0,,,,,,,,
20201007,336,541,,670,,760,2.0,1420.0,1294.0,18.0,,60.0,,32.0,,,,,,,,
20201008,336,541,,676,,762,2.0,1420.0,1297.0,18.0,,60.0,,32.0,,,,,,,,
20201009,336,541,,677,,765,2.0,1421.0,1310.0,18.0,,,,32.0,,60.0,,,,,,
20201010,336,541,,679,,765,2.0,1422.0,1315.0,18.0,,,,32.0,,60.0,,,,,,
20201011,336,541,,680,,768,2.0,1422.0,1317.0,18.0,,,,32.0,,60.0,,,,,,
20201012,336,541,,681,,770,2.0,1422.0,1321.0,18.0,,,,32.0,,60.0,,,,,,
20201013,336,542,,681,,773,2.0,1423.0,1327.0,18.0,,,,32.0,,60.0,,,,,,
20201014,336,543,,681,,776,2.0,1424.0,1330.0,18.0,,,,32.0,,60.0,,,,,,
20201015,336,543,1424.0,681,,776,2.0,,1330.0,18.0,,,,32.0,60.0,,,,,,,
20201016,336,543,1424.0,683,,780,2.0,,1336.0,18.0,,,,32.0,60.0,,,,,,,
20201017,336,543,1425.0,683,,784,2.0,,1338.0,18.0,,,,32.0,60.0,,,,,,,
20201018,336,543,1425.0,683,,796,2.0,,1343.0,18.0,,,,32.0,60.0,,,,,,,
20201019,336,543,1425.0,683,,797,2.0,,1346.0,18.0,,,,32.0,60.0,,,,,,,
20201020,336,543,1425.0,683,,806,2.0,,1352.0,18.0,,,,32.0,60.0,,,,,,,
20201021,336,543,1425.0,683,,808,2.0,,1354.0,18.0,,,,32.0,60.0,,1.0,,,,,
20201022,336,543,1425.0,683,,812,2.0,,1358.0,18.0,,,,32.0,60.0,,1.0,,,,,
20201023,336,543,1425.0,684,,822,2.0,,1358.0,18.0,,,,32.0,60.0,,1.0,,,,,
20201024,336,543,1425.0,684,,824,2.0,,1360.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201025,336,540,,685,,829,2.0,1425.0,1362.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201026,336,540,,686,,832,2.0,1425.0,1364.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201027,336,540,,686,,837,2.0,1425.0,1367.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201028,336,540,,686,,842,2.0,1425.0,1367.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201029,336,540,,686,,843,2.0,1425.0,1368.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201030,336,540,,686,,843,2.0,1426.0,1370.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201031,336,540,,687,,843,2.0,1426.0,1376.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201101,336,540,,687,,846,2.0,1426.0,1376.0,18.0,,60.0,,32.0,,,1.0,,,,,
20201102,336,540,,687,,852,2.0,1426.0,1376.0,19.0,,,,32.0,,,1.0,60.0,,,,
20201103,336,540,,687,,855,2.0,1428.0,1377.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201104,336,540,,688,,858,2.0,1428.0,1382.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201105,336,540,,688,,859,2.0,1428.0,1384.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201106,336,540,,689,,865,2.0,1428.0,1384.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201107,336,540,,689,,870,2.0,1428.0,1385.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201108,336,540,,689,,872,2.0,1429.0,1385.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201109,336,540,,690,,876,2.0,1431.0,1388.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201110,336,540,,691,,882,2.0,1430.0,1388.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201111,336,540,,691,,886,2.0,1431.0,1392.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201112,336,540,,693,,901,3.0,1431.0,1392.0,19.0,,,,32.0,,,1.0,,60.0,,,
20201113,336,541,,694,,915,2.0,1431.0,1395.0,19.0,,,,32.0,,,1.0,,65.0,,,
20201114,336,541,,695,,916,2.0,1432.0,1398.0,19.0,,,,32.0,,,1.0,,65.0,,,
20201115,336,541,,695,,920,2.0,1433.0,1401.0,19.0,,,,32.0,,,1.0,,65.0,,,
20201116,336,542,,696,,928,2.0,1432.0,1406.0,19.0,,,,32.0,,,1.0,,65.0,,,
20201117,336,542,1432.0,696,,933,2.0,,1409.0,19.0,,,,32.0,,,1.0,,65.0,,,
20201118,336,542,1432.0,696,,935,2.0,,1410.0,19.0,,,,32.0,,,,,65.0,2.0,,
20201119,336,542,1433.0,696,,938,2.0,,1415.0,19.0,,,,32.0,,,,,65.0,2.0,,
20201120,336,543,1432.0,698,,946,2.0,,1417.0,19.0,,,,32.0,,,,,65.0,2.0,,
20201121,336,543,1435.0,707,,951,2.0,,1419.0,19.0,,,,32.0,,,,,65.0,9.0,,
20201122,336,543,1440.0,711,,955,2.0,,1425.0,19.0,,,,32.0,,,,,65.0,33.0,,
20201124,336,546,1454.0,725,,970,2.0,,1448.0,19.0,,,,32.0,,,,,66.0,104.0,,
20201125,336,550,1472.0,731,,976,2.0,,1460.0,19.0,,,,32.0,,,,,66.0,138.0,,
20201126,336,551,1486.0,740,,977,2.0,,1484.0,19.0,,,,32.0,,,,,67.0,173.0,,
20201127,336,553,1501.0,754,,981,2.0,,1496.0,19.0,,,,32.0,,,,,69.0,205.0,,
20201128,336,558,1523.0,768,,984,2.0,,1521.0,19.0,,,,32.0,,,,,69.0,228.0,,
20201129,336,560,1548.0,777,,984,2.0,,1539.0,19.0,,,,32.0,,,,,69.0,258.0,,
20201130,336,562,1585.0,794,,989,2.0,,1560.0,19.0,,,,32.0,,,,,69.0,291.0,,
20201201,336,563,1596.0,803,,996,2.0,,1588.0,19.0,,,,32.0,,,,,69.0,311.0,,
20201202,336,565,1630.0,810,,1004,2.0,,1610.0,19.0,,,,32.0,,,,,69.0,320.0,,
20201203,336,569,1650.0,819,,1010,2.0,,1651.0,19.0,,,,32.0,,,,,69.0,343.0,,
20201204,336,576,1677.0,831,,1019,2.0,,1676.0,19.0,,,,32.0,,,,,69.0,353.0,,
20201205,336,577,1697.0,851,,1028,2.0,,1717.0,20.0,,,,32.0,,,,,72.0,370.0,,
20201206,336,577,1718.0,865,,1037,2.0,,1755.0,20.0,,,,32.0,,,,,72.0,389.0,,
20201207,336,580,1738.0,878,,1044,2.0,,1786.0,20.0,,,,32.0,,,,,73.0,409.0,,
20201208,336,581,1772.0,889,,1050,2.0,,1804.0,20.0,,,,32.0,,,,,73.0,417.0,,
20201209,336,586,1785.0,897,,1055,2.0,,1851.0,20.0,,,,32.0,,,,,77.0,435.0,,
20201210,336,588,1814.0,910,,1058,2.0,,1889.0,20.0,,,,32.0,,,,,77.0,454.0,,
20201211,336,591,1844.0,932,,1064,2.0,,1925.0,21.0,,,,32.0,,,,,78.0,467.0,,
20201212,336,593,1866.0,954,,1068,2.0,,1953.0,21.0,,,,32.0,,,,,78.0,475.0,,
20201213,336,593,1897.0,960,,1072,3.0,,1971.0,24.0,,,,32.0,,,,,78.0,481.0,,
20201214,336,593,1931.0,972,,1072,3.0,,2000.0,24.0,,,,32.0,,,,,78.0,481.0,,
20201215,336,601,1942.0,987,,1078,3.0,,2032.0,21.0,,,,32.0,,,,,78.0,514.0,,
20201216,336,607,1964.0,999,,1085,3.0,,2062.0,21.0,,,,32.0,,,,,79.0,534.0,,
20201217,336,609,1987.0,1012,,1087,3.0,,2093.0,21.0,,,,32.0,,,,,81.0,543.0,,
20201218,336,610,2017.0,1021,,1088,4.0,,2133.0,21.0,,,,32.0,,,,,81.0,557.0,,
20201219,336,611,2034.0,1035,,1094,4.0,,2156.0,21.0,,,,32.0,,,,,81.0,566.0,,
20201220,336,616,2058.0,1048,,1097,4.0,,2201.0,21.0,,,,32.0,,,,,81.0,585.0,,
20201221,336,619,,1061,,1099,4.0,2072.0,2229.0,21.0,,,,32.0,,,599.0,,81.0,,,
20201222,336,620,,1068,,1103,4.0,2089.0,2274.0,21.0,,,,32.0,,,610.0,,81.0,,,
20201223,336,621,,1077,,1113,4.0,2094.0,2308.0,21.0,,,,32.0,,,614.0,,81.0,,,
20201224,336,623,,1081,,1110,4.0,2099.0,2341.0,21.0,,,,32.0,,,625.0,,82.0,,,
20201225,336,624,,1088,,1115,4.0,2118.0,2370.0,21.0,,,,32.0,,,635.0,,82.0,,,
20201226,336,631,,1095,,1116,4.0,2132.0,2387.0,21.0,,,,32.0,,,645.0,,83.0,,,
20201227,336,633,,1101,,1117,4.0,2145.0,2418.0,21.0,,,,32.0,,,651.0,,83.0,,,
20201228,336,634,,1110,,1117,4.0,2164.0,2445.0,22.0,,,,32.0,,,663.0,,84.0,,,
20201229,336,639,,1112,,1118,4.0,2174.0,2471.0,22.0,,,,32.0,,,680.0,,84.0,,,
20201230,336,641,,1119,,1118,4.0,2180.0,2500.0,23.0,,,,32.0,,,688.0,,84.0,,,
20201231,336,642,,1120,,1118,4.0,2190.0,2526.0,23.0,,,,32.0,,,704.0,,84.0,,,
20210101,336,642,,1123,,1122,4.0,2205.0,2560.0,23.0,,,,32.0,,,716.0,,84.0,,,
20210102,336,643,,1125,,1124,4.0,2219.0,2580.0,23.0,,,,32.0,,,718.0,,85.0,,,
20210103,336,643,,1129,,1125,4.0,2230.0,2594.0,23.0,,,,32.0,,,723.0,,85.0,,,
20210104,336,655,,1130,,1124,4.0,2228.0,2617.0,23.0,,,,32.0,,,731.0,,85.0,,,
20210105,336,656,,1130,,1126,4.0,2229.0,2647.0,23.0,,,,32.0,,,,,85.0,750.0,,
20210106,336,659,,1132,,1127,4.0,2239.0,2658.0,23.0,,,,32.0,,,,,85.0,755.0,,
20210107,336,660,,1132,,1129,4.0,2245.0,2666.0,23.0,,,,32.0,,,,,85.0,763.0,,
20210108,336,660,,1135,,1133,4.0,2247.0,2689.0,23.0,,,,32.0,,,,,85.0,764.0,,
20210109,336,661,,1145,,1134,4.0,2255.0,2703.0,23.0,,,,32.0,,,,,85.0,775.0,,
20210110,336,662,2270.0,1150,,1138,4.0,,2734.0,23.0,,,,32.0,,,,,85.0,778.0,,
20210111,336,662,2275.0,1152,,1140,4.0,,2751.0,23.0,,,,32.0,,,,,85.0,783.0,,
20210112,336,664,2279.0,1155,,1140,4.0,,2756.0,23.0,,,,32.0,,,,,85.0,810.0,,
20210113,336,664,2290.0,1158,,1140,4.0,,2781.0,23.0,,,,32.0,,,,,85.0,831.0,,
20210114,336,667,2302.0,1158,,1140,4.0,,2797.0,23.0,,,,32.0,,,,,86.0,841.0,,
20210115,336,671,2305.0,1161,,1142,4.0,,2804.0,23.0,,,,32.0,,,,,86.0,851.0,,
20210116,336,673,2309.0,1166,,1143,4.0,,2818.0,23.0,,,,32.0,,,,,86.0,863.0,,
20210117,336,673,2317.0,1170,,1143,4.0,,2843.0,23.0,,,,32.0,,,,,87.0,875.0,,
20210118,336,673,2327.0,1178,,1147,4.0,,2862.0,23.0,,,,32.0,,,,,88.0,888.0,,
20210119,336,674,2332.0,1194,,1149,4.0,,2888.0,23.0,,,,32.0,,,,,88.0,945.0,,
20210120,336,676,2338.0,1197,,1150,4.0,,2905.0,23.0,,,,32.0,,,,,89.0,971.0,,
20210121,336,679,2352.0,1200,,1150,4.0,,2927.0,23.0,,,,32.0,,,,,89.0,1006.0,,
20210122,336,680,2359.0,1205,,1155,4.0,,2964.0,23.0,,,,32.0,,,,,90.0,1020.0,,
20210123,336,682,2369.0,1210,,1157,4.0,,2985.0,23.0,,,,32.0,,,,,90.0,1041.0,,
20210124,336,682,2394.0,1219,,1159,4.0,,3007.0,23.0,,,,32.0,,,,,90.0,1064.0,,
20210125,336,685,2402.0,1220,,1160,4.0,,3045.0,23.0,,,,32.0,,,,,94.0,1085.0,,
20210126,336,685,2421.0,1223,,1163,5.0,,3062.0,23.0,,,,32.0,,,,,96.0,1113.0,,
20210127,336,688,2430.0,1229,,1164,5.0,,3094.0,23.0,,,,32.0,,,,,96.0,1126.0,,
20210128,336,689,2441.0,1234,,1166,5.0,,3122.0,23.0,,,,32.0,,,,,96.0,1139.0,,
20210129,336,691,2447.0,1236,,1166,5.0,,3134.0,24.0,,,,32.0,,,,,96.0,1155.0,,
20210130,336,695,2461.0,1237,,1167,6.0,,3155.0,24.0,,,,32.0,,,,,96.0,1163.0,,
20210131,336,696,,1237,,1169,6.0,2464.0,3168.0,24.0,,,,32.0,,,,,96.0,1172.0,,
20210201,336,696,2470.0,1240,,1177,6.0,,3185.0,24.0,,,,32.0,,,,,96.0,1191.0,,
20210202,336,696,2471.0,1244,,1181,6.0,,3203.0,24.0,,,,32.0,,,,,96.0,1198.0,,
20210203,336,697,2473.0,1244,,1182,6.0,,3221.0,24.0,,,,32.0,,,,,96.0,1201.0,,
20210204,336,697,2477.0,1245,,1182,7.0,,3227.0,24.0,,,,32.0,,,,,96.0,1208.0,,
20210205,336,697,2486.0,1248,,1184,7.0,,3232.0,24.0,,,,32.0,,,,,96.0,1211.0,,
20210206,336,699,2488.0,1249,,1186,7.0,,3254.0,24.0,,,,32.0,,,,,96.0,1219.0,,
20210207,336,699,2494.0,1250,,1188,7.0,,3263.0,24.0,,,,32.0,,,,,96.0,1220.0,,
20210208,336,699,2497.0,1252,,1190,7.0,,3277.0,25.0,,,,32.0,,,,,96.0,1225.0,,
20210209,336,699,2500.0,1254,,1192,7.0,,3295.0,25.0,,,,32.0,,,,,96.0,1232.0,,
20210210,336,701,2499.0,1256,,1193,7.0,,3306.0,25.0,,,,32.0,,,,,96.0,1243.0,,
20210211,336,702,2501.0,1254,,1193,7.0,,3310.0,25.0,,,,32.0,,,,,96.0,1255.0,,
20210212,336,702,2502.0,1256,,1195,8.0,,3319.0,25.0,,,,32.0,,,,,96.0,1261.0,,
20210213,336,702,,1259,,1196,8.0,2508.0,3329.0,25.0,,,,32.0,,,,,96.0,1265.0,,
20210214,336,702,,1259,,1196,8.0,2509.0,3339.0,25.0,,,,32.0,,,,,96.0,1266.0,,
20210215,336,702,,1261,,1197,8.0,2510.0,3343.0,25.0,,,,32.0,,,,,96.0,1270.0,,
20210216,336,702,,1262,,1201,8.0,2510.0,3346.0,25.0,,,,32.0,,,,,96.0,1271.0,,
20210217,336,702,,1262,,1201,8.0,2512.0,3351.0,25.0,,,,32.0,,,,,96.0,1272.0,,
20210218,336,702,,1263,,1204,8.0,2516.0,3354.0,25.0,,,,32.0,,,,,96.0,1277.0,,
20210219,336,702,,1263,,1204,8.0,2518.0,3358.0,25.0,,,,32.0,,,,,96.0,1279.0,,
20210220,336,702,,1263,,1204,8.0,2522.0,3363.0,26.0,,,,32.0,,,,,97.0,1281.0,,
20210221,336,702,,1263,,1208,8.0,2528.0,3367.0,26.0,,,,32.0,,,,,97.0,1282.0,,
20210222,336,702,,1265,,1209,8.0,2532.0,3374.0,26.0,,,,32.0,,,,,97.0,1288.0,,
20210223,336,705,2527.0,1265,,1212,8.0,,3382.0,26.0,,,,32.0,,,,,97.0,1295.0,,
20210224,336,705,2527.0,1265,,1212,8.0,,3390.0,26.0,,,,32.0,,,,,97.0,1299.0,,
20210225,336,705,2531.0,1265,,1213,8.0,,3397.0,26.0,,,,32.0,,,,,97.0,1304.0,,
20210226,336,706,2533.0,1266,,1213,8.0,,3401.0,26.0,,,,32.0,,,,,97.0,1309.0,,
20210227,336,706,2536.0,1268,,1218,8.0,,3412.0,26.0,,,,32.0,,,,,97.0,1312.0,,
20210228,336,706,2541.0,1272,,1220,8.0,,3427.0,26.0,,,,32.0,,,,,97.0,1319.0,,
20210301,336,706,2542.0,1277,,1224,8.0,,3435.0,26.0,,,,32.0,,,,,97.0,1323.0,,
